Line no.  	 Token no. 		 Token               		 Lexeme              
1         	 0         		 Preprocessor directive		 #include <stdio.h>  
3         	 1         		 Keyword             		 int                 
3         	 2         		 Identifier          		 main                
3         	 3         		 Separator           		 (                   
3         	 4         		 Separator           		 )                   
3         	 5         		 Separator           		 {                   
4         	 6         		 Keyword             		 int                 
4         	 7         		 Identifier          		 x                   
4         	 8         		 Operator            		 =                   
4         	 9         		 Number              		 42                  
4         	 10        		 Separator           		 ;                   
5         	 11        		 Identifier          		 printf              
5         	 12        		 Separator           		 (                   
5         	 13        		 Argument            		 "Hello, world!"     
5         	 14        		 Separator           		 )                   
5         	 15        		 Separator           		 ;                   
6         	 16        		 Keyword             		 return              
6         	 17        		 Number              		 0                   
6         	 18        		 Separator           		 ;                   
7         	 19        		 Separator           		 }                   
